State Code,Reference Number,Multiple Name,URL
CT,64000086,Colonial Houses of Southington TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000086.pdf
CT,64000087,Connecticut State Park and Forest Depression-Era Federal Work Relief Programs Structures TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000087.pdf
CT,64000088,Downtown Bridgeport MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000088.pdf
CT,64000089,Downtown Stamford Ecclesiastical Complexes TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000089.pdf
CT,64000090,Downtown Stamford Ecclesiastical Complexes TR (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000090.pdf
CT,64000091,Eighteenth-Century Houses of West Hartford TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000091.pdf
CT,64000092,Eighteenth-Century Houses of West Hartford TR (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000092.pdf
CT,64000093,Hartford Downtown MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000093.pdf
CT,64000094,Historic Industrial Complexes of Southington TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000094.pdf
CT,64000095,Historic Industrial Complexes of Southington TR (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000095.pdf
CT,64000096,Lower Connecticut River Valley Woodland Period Archaeological TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000096.pdf
CT,64000097,Movable Railroad Bridges on the NE Corridor in Connecticut TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000097.pdf
CT,64000098,Newington Junction MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000098.pdf
CT,64000099,"Taylor, Alfredo S. G., TR",http://pdfhost.focus.nps.gov/docs/nrhp/text/64000099.pdf
DE,64000100,"Agricultural Buildings and Complexes in Mill Creek Hundred, 1800--1840 TR",http://pdfhost.focus.nps.gov/docs/nrhp/text/64000100.pdf
DE,64000101,Centreville MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000101.pdf
DE,64000102,Kenton Hundred MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000102.pdf
DE,64000103,Leipsic and Little Creek MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000103.pdf
DE,64000104,Leipsic and Little Creek MRA (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000104.pdf
DE,64000105,Market Street MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000105.pdf
DE,64000106,Milford MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000106.pdf
DE,64000107,Nanticoke Indian Community TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000107.pdf
DE,64000108,Newark MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000108.pdf
DE,64000109,Rebuilding St. Georges Hundred 1850--1880 TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000109.pdf
DE,64000110,Red Lion Hundred MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000110.pdf
DE,64000111,Seaford Commercial Buildings TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000111.pdf
DE,64000112,St. Jones Neck MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000112.pdf
DE,64000113,White Clay Creek Hundred MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000113.pdf
FL,64000114,Country Club Estates TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000114.pdf
